Layer ID,Event ID,Loss
Demo 1 Alpha Group Layer 1,1,234531.213530925
Demo 1 Alpha Group Layer 1,2,167048.840581788
Demo 1 Alpha Group Layer 1,3,889208.126558467
Demo 1 Alpha Group Layer 1,4,223317.970325162
Demo 1 Alpha Group Layer 1,5,128398.711417082
Demo 1 Alpha Group Layer 1,6,58425.985988825
Demo 1 Alpha Group Layer 1,7,1261095.38712294
Demo 1 Alpha Group Layer 1,8,404375.950001742
Demo 1 Alpha Group Layer 1,9,390370.347892793
Demo 1 Alpha Group Layer 1,10,209787.602498201
Demo 1 Alpha Group Layer 1,11,905629.423265119
Demo 1 Alpha Group Layer 1,12,211530.805871642
Demo 1 Alpha Group Layer 1,13,796121.016727618
Demo 1 Alpha Group Layer 1,14,510596.414021839
Demo 1 Alpha Group Layer 1,15,333513.713188568
Demo 1 Alpha Group Layer 1,16,104481.311118371
Demo 1 Alpha Group Layer 1,17,557545.507038773
Demo 1 Alpha Group Layer 1,18,425337.891093247
Demo 1 Alpha Group Layer 1,19,1072347.30400022
Demo 1 Alpha Group Layer 1,20,281944.587634301
Demo 1 Alpha Group Layer 1,21,947954.213976999
Demo 1 Alpha Group Layer 1,22,216348.570004639
Demo 1 Alpha Group Layer 1,23,79569.1900020141
Demo 1 Alpha Group Layer 1,24,370885.820580676
Demo 1 Alpha Group Layer 1,25,90418.3245428862
Demo 1 Alpha Group Layer 1,26,209272.916004345
Demo 1 Alpha Group Layer 1,27,560975.783954563
Demo 1 Alpha Group Layer 1,28,219377.259252275
Demo 1 Alpha Group Layer 1,29,109390.979497891
Demo 1 Alpha Group Layer 1,30,433018.231763098
Demo 1 Alpha Group Layer 1,31,61792.8172704954
Demo 1 Alpha Group Layer 1,32,373822.22913826
Demo 1 Alpha Group Layer 1,33,279450.101653135
Demo 1 Alpha Group Layer 1,34,213024.266249342
Demo 1 Alpha Group Layer 1,35,6657862.06178646
Demo 1 Alpha Group Layer 1,36,166125.459845334
Demo 1 Alpha Group Layer 1,37,7699183.72562507
Demo 1 Alpha Group Layer 1,38,444739.852850451
Demo 1 Alpha Group Layer 1,39,321585.450743424
Demo 1 Alpha Group Layer 1,40,899581.512103048
Demo 1 Alpha Group Layer 1,41,1800523.40158684
Demo 1 Alpha Group Layer 1,42,305442.613770211
Demo 1 Alpha Group Layer 1,43,31418.4070834987
Demo 1 Alpha Group Layer 1,44,377632.568000047
Demo 1 Alpha Group Layer 1,45,426955.322850677
Demo 1 Alpha Group Layer 1,46,131993.936428773
Demo 1 Alpha Group Layer 1,47,92090.2364633344
Demo 1 Alpha Group Layer 1,48,766839.464497927
Demo 1 Alpha Group Layer 1,49,214183.146156511
Demo 1 Alpha Group Layer 1,50,28678.8800933418
Demo 1 Alpha Group Layer 1,51,325682.866077837
Demo 1 Alpha Group Layer 1,52,340990.993637369
Demo 1 Alpha Group Layer 1,53,250520.539647755
Demo 1 Alpha Group Layer 1,54,51282.6090321844
Demo 1 Alpha Group Layer 1,55,66305.4338587952
Demo 1 Alpha Group Layer 1,56,715970.697237829
Demo 1 Alpha Group Layer 1,57,219642.392300365
Demo 1 Alpha Group Layer 1,58,324195.78998137
Demo 1 Alpha Group Layer 1,59,712875.441076384
Demo 1 Alpha Group Layer 1,60,160946.151293819
Demo 1 Alpha Group Layer 1,61,57663.7080368657
Demo 1 Alpha Group Layer 1,62,510032.590357111
Demo 1 Alpha Group Layer 1,63,139613.260134123
Demo 1 Alpha Group Layer 1,64,95231.9070222254
Demo 1 Alpha Group Layer 1,65,92979.555124113
